"id","name","title","group","latitude","longitude","url","services","service_count","categories"
9595,"Kuoppaniemi, Iitti","Kuoppaniemi","Iitti","60.94","26.3933","https://www.vierassatamat.fi/fi/kohde/kuoppaniemi-iitti-9595","Grillipaikka,Kahvila,Kioski,Nähtävää,Satama,Veneramppi,WC","7","ruoka=true;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8827,"Kunnanniemi, Suonenjoki","Kunnanniemi","Suonenjoki","62.7067","26.9817","https://www.vierassatamat.fi/fi/kohde/kunnanniemi-suonenjoki-8827","Grillipaikka,Keräyspiste,Uimaranta,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8829,"Kuninkaansaari, Rautalampi","Kuninkaansaari","Rautalampi","62.7833","26.855","https://www.vierassatamat.fi/fi/kohde/kuninkaansaari-rautalampi-8829","Grillipaikka,Keräyspiste,Uimaranta,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8792,"Kuhnamojärvi, Äänekoski","Kuhnamojärvi","Äänekoski","62.5983","25.7133","https://www.vierassatamat.fi/fi/kohde/kuhnamojarvi-aanekoski-8792","Elintarvikekioski,Kahvila,Kauppa,Keräyspiste,Kioski,Ravintola,Veneramppi","7","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7903,"Korpilahti, Marina, Jyväskylä","Korpilahti, Marina","Jyväskylä","62.015","25.5567","https://www.vierassatamat.fi/fi/kohde/korpilahti-marina-jyvaskyla-7903","Apteekki,Bussi,Juomavesi,Kahvila,Kauppa,Keräyspiste,Kioski,Leikkipaikka,Luontopolku,Nähtävää,Opastus,Pesutupa,Polttoaine,Posti,Ravintola,Satama,Sauna,Septityhjennys,Suihku,Sähkö,Tapahtumat,Uimaranta,Veneramppi,WC","24","ruoka=true;nahtavyys=true;tapahtuma=true;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8803,"Konginkangas, Äänekoski","Konginkangas","Äänekoski","62.7833","25.8133","https://www.vierassatamat.fi/fi/kohde/konginkangas-aanekoski-8803","Apteekki,Kahvila,Kauppa,Keräyspiste,Leikkipaikka,Ravintola,Uimaranta,Veneramppi,WC","9","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9220,"Kivisalmi, Konnevesi","Kivisalmi","Konnevesi","62.665","26.565","https://www.vierassatamat.fi/fi/kohde/kivisalmi-konnevesi-9220","Grillipaikka,Keräyspiste,Kioski,Opastus,Ravintola,Veneramppi,WC","7","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8769,"Kiviönniemi, Jyväskylä","Kiviönniemi","Jyväskylä","61.9717","25.5917","https://www.vierassatamat.fi/fi/kohde/kivionniemi-jyvaskyla-8769","Grillipaikka,Opastus,Uimaranta,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8789,"Kirkkoniemi, Laukaa","Kirkkoniemi","Laukaa","62.3967","26.0567","https://www.vierassatamat.fi/fi/kohde/kirkkoniemi-laukaa-8789","Grillipaikka,Opastus,Uimaranta,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9237,"Kiesimä, Rautalampi","Kiesimä","Rautalampi","62.7683","26.5167","https://www.vierassatamat.fi/fi/kohde/kiesima-rautalampi-9237","Grillipaikka,Keräyspiste,Satama,Veneramppi,WC","5","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8315,"Kerkonkoski, Rautalampi","Kerkonkoski","Rautalampi","62.7583","26.695","https://www.vierassatamat.fi/fi/kohde/kerkonkoski-rautalampi-8315","Bussi,Grillipaikka,Juomavesi,Keräyspiste,Opastus,Pesutupa,Polttoaine,Satama,Sauna,Septityhjennys,Suihku,Sähkö,Tori,Uimaranta,Veneramppi,WC","16","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8745,"Kelvenne, Padasjoki","Kelvenne","Padasjoki","61.3283","25.4517","https://www.vierassatamat.fi/fi/kohde/kelvenne-padasjoki-8745","Grillipaikka,Luontopolku,WC","3","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8750,"Kellosalmi, Padasjoki","Kellosalmi","Padasjoki","61.4333","25.2767","https://www.vierassatamat.fi/fi/kohde/kellosalmi-padasjoki-8750","Kahvila,Keräyspiste,Ravintola,Veneramppi,WC","5","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9531,"Kellarilahti, Rautalampi","Kellarilahti","Rautalampi","62.6217","26.7","https://www.vierassatamat.fi/fi/kohde/kellarilahti-rautalampi-9531","","0","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8318,"Keitele, Keitele","Keitele","Keitele","63.18","26.355","https://www.vierassatamat.fi/fi/kohde/keitele-keitele-8318","Apteekki,Bussi,Juomavesi,Kahvila,Kauppa,Keräyspiste,Kioski,Leikkipaikka,Lääkäri,Majoitus,Ravintola,Satama,Septityhjennys,Suihku,Tapahtumat,Uimaranta,Veneramppi,WC","18","ruoka=true;nahtavyys=false;tapahtuma=true;kauppa=true;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
8823,"Keihärinkoski, Viitasaari","Keihärinkoski","Viitasaari","63.1117","25.5667","https://www.vierassatamat.fi/fi/kohde/keiharinkoski-viitasaari-8823","Grillipaikka,Kahvila,Keräyspiste,Kioski,Uimaranta,Veneramppi,WC","7","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
